"from 2015/1/1 to 2015/1/5 sales amount report"
"date","room type","sales amount"
"2015/1/1","single room","230"
"2015/1/1","double room","800"
"2015/1/1","triple room","420"
"2015/1/2","single room","230"
"2015/1/2","double room","400"
"2015/1/2","triple room","420"
"2015/1/3","single room","460"
"2015/1/3","double room","400"
"2015/1/3","triple room","420"
"2015/1/4","single room","230"
"2015/1/4","double room","200"
"2015/1/4","triple room","0"
"2015/1/5","single room","0"
"2015/1/5","double room","400"
"2015/1/5","triple room","210"
"","","",""
"total: "
"single room: ","1150"
"double room: ","2200"
"triple room: ","1470"
"","","",""
"","","",""
"report made time: ","2015/12/15 15:03:11"
